timestamp,tipo_evento,consulta,latencia
2026-04-29T21:17:34.423361,miss,Q1,0.01294708251953125
2026-04-29T21:17:34.483046,miss,Q3,0.0034363269805908203
2026-04-29T21:17:34.543641,miss,Q3,0.00334930419921875
2026-04-29T21:17:34.606322,miss,Q5,0.004883289337158203
2026-04-29T21:17:34.666586,miss,Q3,0.003267526626586914
2026-04-29T21:17:34.725940,miss,Q1,0.0032401084899902344
2026-04-29T21:17:34.785547,miss,Q1,0.0032815933227539062
2026-04-29T21:17:34.844392,miss,Q5,0.003061532974243164
2026-04-29T21:17:34.906327,miss,Q2,0.004973649978637695
2026-04-29T21:17:34.963311,hit,Q2,0.0003228187561035156
2026-04-29T21:17:35.024848,miss,Q3,0.00421142578125
2026-04-29T21:17:35.082894,hit,Q5,0.0003314018249511719
2026-04-29T21:17:35.143431,miss,Q4,0.003491640090942383
2026-04-29T21:17:35.202985,miss,Q1,0.003444671630859375
2026-04-29T21:17:35.260130,hit,Q5,0.00029540061950683594
2026-04-29T21:17:35.316774,hit,Q1,0.00028896331787109375
2026-04-29T21:17:35.377058,miss,Q4,0.003759145736694336
2026-04-29T21:17:35.433773,hit,Q5,0.00030159950256347656
2026-04-29T21:17:35.494857,miss,Q4,0.0040433406829833984
2026-04-29T21:17:35.555641,miss,Q2,0.003290891647338867
2026-04-29T21:17:35.612486,hit,Q4,0.0003962516784667969
2026-04-29T21:17:35.672288,miss,Q1,0.0031294822692871094
2026-04-29T21:17:35.728517,hit,Q2,0.0003135204315185547
2026-04-29T21:17:35.784035,hit,Q3,0.00027179718017578125
2026-04-29T21:17:35.842791,miss,Q4,0.00313568115234375
2026-04-29T21:17:35.899155,hit,Q1,0.00032639503479003906
2026-04-29T21:17:35.957853,miss,Q4,0.0034656524658203125
2026-04-29T21:17:36.017533,miss,Q5,0.003157377243041992
2026-04-29T21:17:36.075091,hit,Q1,0.0003542900085449219
2026-04-29T21:17:36.130626,hit,Q1,0.0003077983856201172
2026-04-29T21:17:36.186052,hit,Q5,0.0003285408020019531
2026-04-29T21:17:36.244550,miss,Q4,0.003036022186279297
2026-04-29T21:17:36.300894,hit,Q1,0.00032067298889160156
2026-04-29T21:17:36.356392,hit,Q3,0.0003006458282470703
2026-04-29T21:17:36.414793,miss,Q5,0.0028412342071533203
